Image,ID,Name,Type,Material,Style,Substyle,Method,Aging,Origin,Stock,Want,Reference
,1560,Cadenhead,Rum,Molasses & evaporated cane,Rum,,Pot Still,Aged,Various,,9,
,1570,Duncan Taylor,Rum,Molasses & evaporated cane,Rum,,Pot Still,Aged,Various,,9,
,1580,El Dorado Single Barrel PM,Rum,Molasses & evaporated cane,Demerara rum,,Pot Still,Aged,Guyana,,9,
,1590,Hamilton St. Lucia,Rum,Molasses & evaporated cane,Rum,,Pot Still,Aged,St. Lucia,,9,
,1600,Mezan,Rum,Molasses & evaporated cane,Rum,,Pot Still,Aged,Various,,9,
,1610,Plantation Xaymaca,Rum,Molasses & evaporated cane,Jamaican rum,,Pot Still,Aged,Various,,4,"Suderman, Lost Lake"
,1620,Samaroli,Rum,Molasses & evaporated cane,Rum,,Pot Still,Aged,Various,,9,
,1630,St. Nicholas Abbey 5 Year,Rum,Molasses & evaporated cane,Rum,,Pot Still,Aged,Barbados,,6,
,1640,Appleton Estate 50 Year,Rum,Molasses & evaporated cane,Jamaican rum,,Pot Still,Long Aged,Jamaica,,9,
,1650,Diplomatico Ambassador,Rum,Molasses & evaporated cane,Spanish rum,,Pot Still,Long Aged,Venezuela,,9,
,1660,Diplomatico Single Vintage,Rum,Molasses & evaporated cane,Spanish rum,,Pot Still,Long Aged,Venezuela,,9,
,1670,The Black Tot,Rum,Molasses & evaporated cane,Rum,,Pot Still,Long Aged,Regional Blend,,9,
,1680,Appleton Estate Signature Blend,Rum,Molasses & evaporated cane,Jamaican rum,,Blended,Lightly Aged,Jamaica,0.1,2,"D+C: WH, Suderman"
,1690,Banks 5 Island,Rum,Molasses & evaporated cane,Rum,,Blended,Lightly Aged,Regional Blend,,9,
,1700,Banks 7 Island,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Regional Blend,,9,
,1710,Ron Cartavio Selecto 5,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Lightly Aged,Peru,,9,
,1720,Chairman’s Reserve Silver,Rum,Molasses & evaporated cane,Rum,,Blended,Lightly Aged,St. Lucia,,9,
,1730,Cockspur Fine,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,6,
,1740,Denizen,Rum,Molasses & evaporated cane,Rum,,Blended,Lightly Aged,Regional Blend,,9,
,1750,Diplomatico Añejo,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Lightly Aged,Venezuela,,9,
,1760,Diplomatico Blanco,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Lightly Aged,Venezuela,,9,
,1770,El Dorado 3 Year,Rum,Molasses & evaporated cane,Demerara rum,,Blended,Lightly Aged,Guyana,,5,"D+C: WH, D+C: Codex"
,1780,Mount Gay Eclipse,Rum,Molasses & evaporated cane,Rum,,Blended,Aged,Barbados,,9,
,1790,Plantation 3 Stars,Rum,Molasses & evaporated cane,Spanish rum,,Blended,Lightly Aged,Regional Blend,,6,D+C: Codex
