Book,#,Name,Ingredient,Idx,Category,Type,Page,Stock,,
Smuggler's Cove,694,Zombie,Herbstura,,Bitters (herbstura),,268,3,,
Smuggler's Cove,695,,,,,,,,,
Smuggler's Cove,696,Navy Grog,Lime Juice,,Juice (lime),,271,3,,
Smuggler's Cove,697,Navy Grog,Grapefruit Juice,,Juice (grapefruit),,271,3,,
Smuggler's Cove,698,Navy Grog,Demerara Syrup,,Syrup (demerara),,271,3,,
Smuggler's Cove,699,Navy Grog,St. Elizabeth Allspice Dram,,Liqueur (allspice Dram),,271,3,,
Smuggler's Cove,700,Navy Grog,Pot Still Lightly Aged Rum (overproof),R1,Pot Still Lightly Aged Rum (overproof),,271,3,,
Smuggler's Cove,701,Navy Grog,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,271,3,,
Smuggler's Cove,702,Navy Grog,Column Still Aged Rum,R4,Rum (column Still Aged),,271,3,,
Smuggler's Cove,703,,,,,,,,,
Smuggler's Cove,704,Scorpion,Lime Juice,,Juice (lime),,272,3,,
Smuggler's Cove,705,Scorpion,Orange Juice,,Juice (orange),,272,3,,
Smuggler's Cove,706,Scorpion,Demerara Syrup,,Syrup (demerara),,272,3,,
Smuggler's Cove,707,Scorpion,Orgeat,,Syrup (almond),,272,3,,
Smuggler's Cove,708,Scorpion,Brandy,,Brandy (grape),,272,3,,
Smuggler's Cove,709,Scorpion,London Dry Gin,,Gin (london Dry),,272,3,,
Smuggler's Cove,710,Scorpion,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,272,3,,
Smuggler's Cove,711,,,,,,,,,
Smuggler's Cove,712,Fog Cutter,Lemon Juice,,Juice (lemon),,275,3,,
Smuggler's Cove,713,Fog Cutter,Orange Juice,,Juice (orange),,275,3,,
Smuggler's Cove,714,Fog Cutter,Orgeat,,Syrup (almond),,275,3,,
Smuggler's Cove,715,Fog Cutter,Pisco,,Brandy (pisco),,275,,,
Smuggler's Cove,716,Fog Cutter,Gin,,Gin,,275,3,,
Smuggler's Cove,717,Fog Cutter,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,275,3,,
Smuggler's Cove,718,Fog Cutter,Sherry Oloroso,,Sherry (oloroso),,275,3,,
Smuggler's Cove,719,,,,,,,,,
Smuggler's Cove,720,Singapore Sling,Seltzer,,Soda,,276,3,,
Smuggler's Cove,721,Singapore Sling,Lemon Juice,,Juice (lemon),,276,3,,
Smuggler's Cove,722,Singapore Sling,Demerara Syrup,,Syrup (demerara),,276,3,,
Smuggler's Cove,723,Singapore Sling,Cherry Heering Liqueur,,Liqueur (cherry Heering),,276,,,
Smuggler's Cove,724,Singapore Sling,Benedictine,,Liqueur (benedictine),,276,3,,
Smuggler's Cove,725,Singapore Sling,London Dry Gin,,Gin (london Dry),,276,3,,
Smuggler's Cove,726,Singapore Sling,Angostura Bitters,,Bitters (aromatic),,276,3,,
Smuggler's Cove,727,Singapore Sling,Orange Bitters,,Bitters (orange),,276,3,,
Smuggler's Cove,728,,,,,,,,,
Smuggler's Cove,729,Hondo Hattie's Jungle Punch!,Lemon Juice,,Juice (lemon),,311,3,,
Smuggler's Cove,730,Hondo Hattie's Jungle Punch!,Honey Syrup,,Syrup (honey),,311,3,,
Smuggler's Cove,731,Hondo Hattie's Jungle Punch!,Blue Curacao,,Liqueur (orange Blue),,311,3,,
Smuggler's Cove,732,Hondo Hattie's Jungle Punch!,Tawny Port,,Port (tawny),,311,,,
Smuggler's Cove,733,Hondo Hattie's Jungle Punch!,John D. Taylor's Velvet Falernum,,Liqueur (falernum),,311,3,,
Smuggler's Cove,734,Hondo Hattie's Jungle Punch!,Mathilde Poire Pear Liqueur,,Liqueur (pear),,311,,,
Smuggler's Cove,735,Hondo Hattie's Jungle Punch!,Blended Aged Rum,R3,Rum (blended Aged),,311,3,,
Smuggler's Cove,736,Hondo Hattie's Jungle Punch!,Angostura Bitters,,Bitters (aromatic),,311,3,,
Smuggler's Cove,737,,,,,,,,,
Smuggler's Cove,738,Kahiko Punch,Lemon Juice,,Juice (lemon),,311,3,,
Smuggler's Cove,739,Kahiko Punch,Passion Fruit Honey,,Syrup (passion Fruit Honey),,311,,,
Smuggler's Cove,740,Kahiko Punch,Cinnamon Syrup,,Syrup (cinnamon),,311,3,,
Smuggler's Cove,741,Kahiko Punch,Hibiscus Liqueur,,Liqueur (hibiscus),,311,,,
Smuggler's Cove,742,Kahiko Punch,Pot Still Unaged Rum,,Rum (pot Still Unaged),,311,3,,
Smuggler's Cove,743,Kahiko Punch,Bittermens 'elemakule Tiki Bitters,,Bitters (tiki),,311,,,
Smuggler's Cove,744,,,,,,,,,
Smuggler's Cove,745,Triumvirate Punch,Lime Juice,,Juice (lime),,312,3,,
Smuggler's Cove,746,Triumvirate Punch,Passion Fruit Honey,,Syrup (passion Fruit Honey),,312,,,
Smuggler's Cove,747,Triumvirate Punch,St. Elizabeth Allspice Dram,,Liqueur (allspice Dram),,312,3,,
Smuggler's Cove,748,Triumvirate Punch,Pot Still Unaged Rum,,Rum (pot Still Unaged),,312,3,,
Smuggler's Cove,749,Triumvirate Punch,Angostura Bitters,,Bitters (aromatic),,312,3,,
Smuggler's Cove,750,Triumvirate Punch,Grated Nutmeg,,Spice (nutmeg),,312,3,,
Smuggler's Cove,751,,,,,,,,,
Smuggler's Cove,752,Eureka Punch,Lemon Juice,,Juice (lemon),,312,3,,
Smuggler's Cove,753,Eureka Punch,Honey Syrup,,Syrup (honey),,312,3,,
Smuggler's Cove,754,Eureka Punch,Yellow Chartreuse,,Liqueur (yellow Chartreuse),,312,,,
Smuggler's Cove,755,Eureka Punch,Column Still Aged Rum,R4,Rum (column Still Aged),,312,3,,
Smuggler's Cove,756,Eureka Punch,Angostura Bitters,,Bitters (aromatic),,312,3,,
Smuggler's Cove,757,Eureka Punch,Ginger Ale,,Soda (ginger),,312,2,,
Smuggler's Cove,758,,,,,,,,,
Smuggler's Cove,759,Yuletidal Wave,Pineapple Juice,,Juice (pineapple),,313,3,,
Smuggler's Cove,760,Yuletidal Wave,Lemon Juice,,Juice (lemon),,313,3,,
Smuggler's Cove,761,Yuletidal Wave,Mathilde Poire Pear Liqueur,,Liqueur (pear),,313,,,
Smuggler's Cove,762,Yuletidal Wave,Licor 43,,Liqueur (licor 43),,313,,,
Smuggler's Cove,763,Yuletidal Wave,St. Elizabeth Allspice Dram,,Liqueur (allspice Dram),,313,3,,
Smuggler's Cove,764,Yuletidal Wave,Brandy,,Brandy (grape),,313,3,,
Smuggler's Cove,765,Yuletidal Wave,Bourbon,,Whiskey (bourbon),,313,2,,
Smuggler's Cove,766,Yuletidal Wave,Column Still Aged Rum,R4,Rum (column Still Aged),,313,3,,
Smuggler's Cove,767,,,,,,,,,
Smuggler's Cove,768,Rumbustion Punch,Lime Juice,,Juice (lime),,313,3,,
Smuggler's Cove,769,Rumbustion Punch,Demerara Syrup,,Syrup (demerara),,313,3,,
Smuggler's Cove,770,Rumbustion Punch,Cinnamon Syrup,,Syrup (cinnamon),,313,3,,
Smuggler's Cove,771,Rumbustion Punch,Blended Aged Rum,R3,Rum (blended Aged),,313,3,,
Smuggler's Cove,772,Rumbustion Punch,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,313,3,,
Smuggler's Cove,773,Rumbustion Punch,Herbstura,,Bitters (herbstura),,313,3,,
Smuggler's Cove,774,,,,,,,,,
Smuggler's Cove,775,Puka Punch,Lime Juice,,Juice (lime),,318,3,,
Smuggler's Cove,776,Puka Punch,Orange Juice,,Juice (orange),,318,3,,
Smuggler's Cove,777,Puka Punch,Pineapple Juice,,Juice (pineapple),,318,3,,
Smuggler's Cove,778,Puka Punch,Honey Syrup,,Syrup (honey),,318,3,,
Smuggler's Cove,779,Puka Punch,Passion Fruit Syrup,,Syrup (passion Fruit),,318,3,,
Smuggler's Cove,780,Puka Punch,John D. Taylor's Velvet Falernum,,Liqueur (falernum),,318,3,,
Smuggler's Cove,781,Puka Punch,Blended Aged Rum,R3,Rum (blended Aged),,318,3,,
Smuggler's Cove,782,Puka Punch,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,318,3,,
Smuggler's Cove,783,Puka Punch,Black Blended Rum,RR5,Rum (black Blended),,318,3,,
Smuggler's Cove,784,Puka Punch,Angostura Bitters,,Bitters (aromatic),,318,3,,
Smuggler's Cove,785,Puka Punch,Black Blended Overproof Rum,R6,Rum (black Blended Overproof),,318,3,,
Welcome Home,1,Fresh & Lively (Highball),,,,,,,,
Welcome Home,2,,,,,,,,,
Welcome Home,3,Achilles’ Heel ,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,4,Achilles’ Heel ,Lemorton Selection calvados Domfrontais,,Brandy (Apple),,,3,,
Welcome Home,5,Achilles’ Heel ,Amrut cask-strength single malt Indian whisky,,Whisky (Malt) (Indian),,,,,
Welcome Home,6,Achilles’ Heel ,Henriques & Henriques Rainwater Madeira,,Wine (Madeira),,,,,
Welcome Home,7,Achilles’ Heel ,Lejay crème de cassis de Dijon,,Liqueur (Cassis),,,,,
Welcome Home,8,Achilles’ Heel ,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,9,Achilles’ Heel ,Demerara Syrup ,,Syrup (Demerara),,,3,,
Welcome Home,10,Achilles’ Heel ,Miracle Mile Redeye bitters,,Bitters (Redeye),,,,,
Welcome Home,11,Achilles’ Heel ,1 lemon wheel and 1 coffee bean,,Citrus (Lemon) and Coffee (Bean),,,3,,
Welcome Home,12,,,,,,,,,
Welcome Home,13,Alpenglow,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,14,Alpenglow,Alpenglow Cordial ,,Cordial (Alpenglow),,,,,
Welcome Home,15,Alpenglow,fresh lime juice,,Juice (Lime),,,3,,
Welcome Home,16,Alpenglow,1 fresh bay leaf,,Leaf (Bay),,,3,,
Welcome Home,17,,,,,,,,,
Welcome Home,18,Banquo’s Ghost,Compass Box Great King Street Glasgow,,Whisky (Scotch) (Blended),,,3,,
Welcome Home,19,Banquo’s Ghost,Mezcal Vago Elote,,Agave (Mezcal),,,3,,
Welcome Home,20,Banquo’s Ghost,Cane Sugar Syrup ,,Syrup (Cane),,,3,,
Welcome Home,21,Banquo’s Ghost,lactart,,Lactart,,,,,
Welcome Home,22,Banquo’s Ghost,Bitter End Moroccan bitters,,Bitters (Moroccan),,,,,
Welcome Home,23,Banquo’s Ghost,Harmless Harvest coconut water,,Water (Coconut),,,2,,
Welcome Home,24,Banquo’s Ghost,1 grapefruit twist,,Citrus (Grapefruit),,,3,,
Welcome Home,25,,,,,,,,,
Welcome Home,26,Bastille,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,27,Bastille,Domaine du Manoir de Montreuil Reserve,,Brandy (Apple),,,3,,
Welcome Home,28,Bastille,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,29,Bastille,Jean-Luc Pasquet Pineau des Charentes,,Pineau des Charentes,,,,,
Welcome Home,30,Bastille,Suze,,Liqueur (Suze),,,3,,
Welcome Home,31,Bastille,Cane Sugar Syrup ,,Syrup (Cane),,,3,,
Welcome Home,32,Bastille,Bitter Truth celery bitters,,Bitters (Celery),,,,,
Welcome Home,33,,,,,,,,,
Welcome Home,34,Beyond the Sea,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,35,Beyond the Sea,cucumber slice,,Cucumber,,,,,
Welcome Home,36,Beyond the Sea,Campo de Encanto Acholado,,Brandy (Pisco),,,,,
Welcome Home,37,Beyond the Sea,Clear Creek pear brandy,,Eau-de-vie (Pear),,,,,
Welcome Home,38,Beyond the Sea,Grapefruit Cordial ,,Cordial (Grapefruit),,,,,
Welcome Home,39,Beyond the Sea,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,40,Beyond the Sea,rose water,,Water (Rose),,,,,
Welcome Home,41,,,,,,,,,
Welcome Home,42,Bicycle Wheel,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,43,Bicycle Wheel,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,44,Bicycle Wheel,St. George Bruto Americano,,Amaro (Aperitivo) (Bruto Americano),,,,,
Welcome Home,45,Bicycle Wheel,Don Ciccio & Figli Finocchietto fennel liqueur,,Liqueur (Fennel),,,,,
Welcome Home,46,Bicycle Wheel,Giffard crème de pamplemousse rose,,Liqueur (Grapefruit),,,,,
Welcome Home,47,Bicycle Wheel,1 grapefruit half wheel,,Citrus (Grapefruit),,,3,,
Welcome Home,48,,,,,,,,,
Welcome Home,49,Black Poodle,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,50,Black Poodle,Cucumber Magnesium Syrup ,,Syrup (Cucumber Magnesium),,,,,
Welcome Home,51,Black Poodle,J. Navarre Vieux Pineau des Charentes,,Pineau des Charentes,,,,,
Welcome Home,52,Black Poodle,Tyrconnell single-malt Irish whiskey,,Whiskey (Irish),,,2,,
Welcome Home,53,Black Poodle,Amaro Montenegro,,Amaro (Light) (Montenegro),,,,,
Welcome Home,54,Black Poodle,Chareau aloe liqueur,,Liqueur (Aloe),,,,,
Welcome Home,55,Black Poodle,1 cucumber slice,,Cucumber,,,,,
Welcome Home,56,,,,,,,,,
Welcome Home,57,Black Queen,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,58,Black Queen,Fords gin,,Gin (Contemporary),,,3,,
Welcome Home,59,Black Queen,Amaro Meletti,,Amaro (Light) (Meletti),,,3,,
Welcome Home,60,Black Queen,Cocchi Americano,,Apéritif (Cocchi Americano),,,3,,
Welcome Home,61,Black Queen,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,62,Black Queen,simple syrup ,,Syrup (Simple),,,3,,
Welcome Home,63,Black Queen,Rothman & Winter Orchard cherry liqueur,,Liqueur (Cherry),,,,,
Welcome Home,64,Black Queen,1 lemon twist and 1 brandied cherry,,Citrus (Lemon) and Fruit (Cherry),,,3,,
Welcome Home,65,,,,,,,,,
Welcome Home,66,Blood & Black Lace,Amaro Ramazzotti,,Amaro (Medium) (Ramazzotti),,,,,
Welcome Home,67,Blood & Black Lace,Old Forester Signature,,Whiskey (Bourbon),,,2,,
Welcome Home,68,Blood & Black Lace,Giffard crème de mûre,,Liqueur (Blackberry),,,,,
Welcome Home,69,Blood & Black Lace,Vanilla Syrup ,,Syrup (Vanilla),,,2,,
Welcome Home,70,Blood & Black Lace,Champagne Acid Solution ,,Acid (Champagne),,,,,
Welcome Home,71,Blood & Black Lace,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,72,Blood & Black Lace,water,,Water,,,3,,
Welcome Home,73,,,,,,,,,
Welcome Home,74,Bourbon and Birch,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,75,Bourbon and Birch,Old Grand-Dad 114 bourbon,,Whiskey (Bourbon),,,2,,
Welcome Home,76,Bourbon and Birch,Amaro Averna,,Amaro (Medium),,,,,
Welcome Home,77,Bourbon and Birch,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,78,Bourbon and Birch,House Ginger Syrup ,,Syrup (Ginger),,,2,,
Welcome Home,79,Bourbon and Birch,Cinnamon Syrup ,,Syrup (Cinnamon),,,3,,
Welcome Home,80,Bourbon and Birch,Terra Spice birch extract,,Extract (Birch),,,,,
Welcome Home,81,,,,,,,,,
Welcome Home,82,Bulldog Front,Westbrook Gose beer,,Beer (Gose),,,2,,
Welcome Home,83,Bulldog Front,Beefeater gin,,Gin (London dry),,,3,,
Welcome Home,84,Bulldog Front,Krogstad aquavit,,Aquavit,,,,,
Welcome Home,85,Bulldog Front,Giffard crème de pamplemousse rose,,Liqueur (Grapefruit),,,,,
Welcome Home,86,Bulldog Front,Campari,,Amaro (Aperitivo) (Campari),,,3,,
Welcome Home,87,Bulldog Front,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,88,Bulldog Front,Cane Sugar Syrup ,,Syrup (Cane),,,3,,
Welcome Home,89,Bulldog Front,1 lemon wheel,,Citrus (Lemon),,,3,,
Welcome Home,90,,,,,,,,,
Welcome Home,91,Camargo,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,92,Camargo,Pasquet Marie-Framboise,,Liqueur (Raspberry),,,,,
Welcome Home,93,Camargo,Paul Beau VS cognac,,Brandy (Grape),,,3,,
Welcome Home,94,Camargo,Campari,,Amaro (Aperitivo) (Campari),,,3,,
Welcome Home,95,Camargo,Combier crème de rose,,Liqueur (Rose),,,,,
Welcome Home,96,Camargo,Cane Sugar Syrup ,,Syrup (Cane),,,3,,
Welcome Home,97,Camargo,Lactic Acid Solution ,,Acid (Lactic),,,,,
Welcome Home,98,,,,,,,,,
Welcome Home,99,Charlemagne,Street Pumas Blended scotch,,Whisky (Scotch) (Blended),,,3,,
Welcome Home,100,Charlemagne,Cucumber Magnesium Syrup ,,Syrup (Cucumber Magnesium),,,,,
Welcome Home,101,Charlemagne,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,102,,,,,,,,,
Welcome Home,103,Cloud Nine,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,104,Cloud Nine,Cyril Zangs 00 apple cider eau-de-vie,,Eau-de-vie (Apple),,,,,
Welcome Home,105,Cloud Nine,La Favorite Blanc,,Rum (Agricole) (Unaged),,,3,,
Welcome Home,106,Cloud Nine,fresh lime juice,,Juice (Lime),,,3,,
Welcome Home,107,Cloud Nine,Cane Sugar Syrup ,,Syrup (Cane),,,3,,
Welcome Home,108,Cloud Nine,absinthe,,Absinthe,,,3,,
Welcome Home,109,Cloud Nine,Malic Acid Solution ,,Acid (Malic),,,,,
Welcome Home,110,Cloud Nine,egg white,,Egg (White),,,3,,
Welcome Home,111,,,,,,,,,
Welcome Home,112,Crazy Diamond,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,113,Crazy Diamond,Paul Beau VS cognac,,Brandy (Grape),,,3,,
Welcome Home,114,Crazy Diamond,Reisetbauer hazelnut eau-de-vie,,Eau-de-vie (Hazelnut),,,,,
Welcome Home,115,Crazy Diamond,Strawberry Syrup ,,Syrup (Strawberry),,,,,
Welcome Home,116,Crazy Diamond,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,117,Crazy Diamond,Luxardo maraschino liqueur,,Liqueur (Maraschino Cherry),,,3,,
Welcome Home,118,,,,,,,,,
Welcome Home,119,Doctor Mindbender,Tapatío 110-proof tequila,,Agave (Tequila) (Blanco),,,3,,
Welcome Home,120,Doctor Mindbender,Tapatío Blanco tequila,,Agave (Tequila) (Blanco),,,3,,
Welcome Home,121,Doctor Mindbender,Empirical Spirits Habanero Spirit,,Spirit (Habanero),,,,,
Welcome Home,122,Doctor Mindbender,fresh lime juice,,Juice (Lime),,,3,,
Welcome Home,123,Doctor Mindbender,Guava Syrup ,,Syrup (Guava),,,,,
Welcome Home,124,Doctor Mindbender,Angostura bitters,,Bitters (Aromatic),,,3,,
Welcome Home,125,Doctor Mindbender,1 lime wheel,,Citrus (Lime),,,3,,
Welcome Home,126,,,,,,,,,
Welcome Home,127,Drama Queen,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,128,Drama Queen,green apple slices,,Fruit (Apple),,,2,,
Welcome Home,129,Drama Queen,Tanqueray gin,,Gin (London dry),,,3,,
Welcome Home,130,Drama Queen,Salers Gentien aperitif,,Apéritif (Salers),,,3,,
Welcome Home,131,Drama Queen,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,132,Drama Queen,Honey Syrup ,,Syrup (Honey),,,3,,
Welcome Home,133,Drama Queen,Bitter Truth celery bitters,,Bitters (Celery),,,,,
Welcome Home,134,Drama Queen,Pinch of salt,,Salt,,,3,,
Welcome Home,135,,,,,,,,,
Welcome Home,136,Drop Stitch,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,137,Drop Stitch,Lustau Papirusa Manzanilla Sherry,,Sherry (Manzanilla),,,,,
Welcome Home,138,Drop Stitch,Perry’s Tot Navy Strength gin,,Gin (London dry) (Navy Strength),,,,,
Welcome Home,139,Drop Stitch,Don Ciccio & Figli Finocchietto fennel liqueur,,Liqueur (Fennel),,,,,
Welcome Home,140,Drop Stitch,Clear Creek pear brandy,,Eau-de-vie (Pear),,,,,
Welcome Home,141,Drop Stitch,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,142,Drop Stitch,simple syrup ,,Syrup (Simple),,,3,,
Welcome Home,143,Drop Stitch,absinthe,,Absinthe,,,3,,
Welcome Home,144,Drop Stitch,1 mint bouquet,,Mint,,,3,,
Welcome Home,145,,,,,,,,,
Welcome Home,146,El Topo,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,147,El Topo,Lustau Los Arcos amontillado sherry,,Sherry (Amontillado),,,,,
Welcome Home,148,El Topo,Great King St. Glasgow Blend scotch,,Whisky (Scotch) (Blended),,,3,,
Welcome Home,149,El Topo,Tepache ,,Tepache,,,,,
Welcome Home,150,El Topo,acid phosphate,,Acid (Phosphate),,,,,
Welcome Home,151,El Topo,Citric Acid Solution ,,Acid (Citric),,,2,,
Welcome Home,152,El Topo,Angostura bitters,,Bitters (Aromatic),,,3,,
Welcome Home,153,El Topo,2 pineapple fronds,,Pineapple (Frond),,,3,,
Welcome Home,154,,,,,,,,,
Welcome Home,155,Fleas on Trapeze Vol. 1,Plymouth Navy Strength gin,,Gin (Plymouth) (Navy Strength),,,,,
Welcome Home,156,Fleas on Trapeze Vol. 1,Clear Creek pear brandy,,Eau-de-vie (Pear),,,,,
Welcome Home,157,Fleas on Trapeze Vol. 1,Don Ciccio & Figli Finocchietto fennel liqueur,,Liqueur (Fennel),,,,,
Welcome Home,158,Fleas on Trapeze Vol. 1,fresh lime juice,,Juice (Lime),,,3,,
Welcome Home,159,Fleas on Trapeze Vol. 1,Cane Sugar Syrup ,,Syrup (Cane),,,3,,
Welcome Home,160,Fleas on Trapeze Vol. 1,absinthe,,Absinthe,,,3,,
Welcome Home,161,Fleas on Trapeze Vol. 1,Fennel fronds,,Fennel fronds,,,,,
Welcome Home,162,,,,,,,,,
Welcome Home,163,Free Tail,cold seltzer,,Water (Sparkling),,,3,,2
Welcome Home,164,Free Tail,Siembra Valles Ancestral tequila,,Agave (Tequila) (Blanco),,,3,,2
Welcome Home,165,Free Tail,Lillet rosé,,Apéritif (Lillet Rosé),,,,,2
Welcome Home,166,Free Tail,Gonzalez Byass Tio Pepe,,Sherry (Fino),,,,,2
Welcome Home,167,Free Tail,Donn’s Mix #1 ,,Mix (Donn’s Mix #1),,,3,,2
Welcome Home,168,Free Tail,fresh lime juice,,Juice (Lime),,,3,,2
Welcome Home,169,Free Tail,Cane Sugar Syrup ,,Syrup (Cane),,,3,,2
Welcome Home,170,Free Tail,Bittermens Xocolatl mole bitters,,Bitters (Mole),,,3,,2
Welcome Home,171,Free Tail,1 grapefruit twist,,Citrus (Grapefruit),,,3,,2
Welcome Home,172,,,,,,,,,
Welcome Home,173,Gatekeeper,Old Raj 110-proof dry gin,,Gin (London dry) (Navy Strength),,,,,
Welcome Home,174,Gatekeeper,Cap Corse blanc quinquina,,Apéritif (Quiquina),,,,,
Welcome Home,175,Gatekeeper,Cyril Zangs 00 apple cider eau-de-vie,,Eau-de-vie (Apple),,,,,
Welcome Home,176,Gatekeeper,Celery Syrup ,,Syrup (Celery),,,,,
Welcome Home,177,Gatekeeper,Malic Acid Solution ,,Acid (Malic),,,,,
Welcome Home,178,Gatekeeper,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,179,Gatekeeper,1 apple slice,,Fruit (Apple),,,2,,
Welcome Home,180,,,,,,,,,
Welcome Home,181,Ghost Colors,Greenhook Ginsmiths Old Tom gin,,Gin (Old Tom),,,,,
Welcome Home,182,Ghost Colors,fresh lime juice,,Juice (Lime),,,3,,
Welcome Home,183,Ghost Colors,fresh grapefruit juice,,Juice (Grapefruit),,,3,,
Welcome Home,184,Ghost Colors,Massenez crème de pêche peach liqueur,,Liqueur (Peach),,,,,
Welcome Home,185,Ghost Colors,House Ginger Syrup ,,Syrup (Ginger),,,2,,
Welcome Home,186,Ghost Colors,Cinnamon Syrup ,,Syrup (Cinnamon),,,3,,
Welcome Home,187,Ghost Colors,Angostura bitters,,Bitters (Aromatic),,,3,,
Welcome Home,188,Ghost Colors,Stillwater Nu-Tropic IPA,,Beer (IPA),,,2,,
Welcome Home,189,Ghost Colors,1 lime wheel,,Citrus (Lime),,,3,,
Welcome Home,190,,,,,,,,,
Welcome Home,191,Gramercy Riffs,dry sparkling wine,,Wine (Sparkling),,,2,,
Welcome Home,192,Gramercy Riffs,Spring44 vodka,,Vodka,,,2,,
Welcome Home,193,Gramercy Riffs,Svöl Swedish Style Aquavit,,Aquavit,,,,,
Welcome Home,194,Gramercy Riffs,Cocchi Americano,,Apéritif (Cocchi Americano),,,3,,
Welcome Home,195,Gramercy Riffs,Leopold Bros. New York sour apple liqueur,,Liqueur (Sour apple),,,,,
Welcome Home,196,Gramercy Riffs,dry Riesling,,Wine (Riesling),,,,,
Welcome Home,197,Gramercy Riffs,Cane Sugar Syrup ,,Syrup (Cane),,,3,,
Welcome Home,198,Gramercy Riffs,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,199,Gramercy Riffs,1 lemon wheel and 1 apple fan,,Citrus (Lemon) and Fruit (Apple),,,3,,
Welcome Home,200,,,,,,,,,
Welcome Home,201,Halo Effect,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,202,Halo Effect,Spring44 vodka,,Vodka,,,2,,
Welcome Home,203,Halo Effect,white port,,Wine (Port),,,,,
Welcome Home,204,Halo Effect,Salers Gentien aperitif,,Apéritif (Salers),,,3,,
Welcome Home,205,Halo Effect,Apple Cordial ,,Cordial (Apple),,,,,
Welcome Home,206,Halo Effect,1 mint bouquet,,Mint,,,3,,
Welcome Home,207,,,,,,,,,
Welcome Home,208,Harlequin,Fever-Tree tonic,,Tonic,,,2,,
Welcome Home,209,Harlequin,Bonal Gentiane-Quina,,Apéritif (Bonal Gentiane-Quina),,,3,,
Welcome Home,210,Harlequin,Domaine du Manoir de Montreuil Reserve,,Brandy (Apple),,,3,,
Welcome Home,211,Harlequin,Forthave Spirits Marseille amaro,,Amaro (Dense) (Marseille),,,,,
Welcome Home,212,Harlequin,Honey Syrup ,,Syrup (Honey),,,3,,
Welcome Home,213,Harlequin,acid phosphate,,Acid (Phosphate),,,,,
Welcome Home,214,Harlequin,1 mint bouquet and 1 lemon wheel,,Mint and Citrus (Lemon),,,3,,
Welcome Home,215,,,,,,,,,
Welcome Home,216,Highball (Standing Room),cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,217,Highball (Standing Room),Suntory Toki Japanese Whisky,,Whisky (Japanese),,,2,,
Welcome Home,218,Highball (Standing Room),Glasshouse shiso brandy,,Brandy (Shiso),,,,,
Welcome Home,219,Highball (Standing Room),Mathilde Poire pear liqueur,,Liqueur (Pear),,,,,
Welcome Home,220,Highball (Standing Room),Clear Creek pear brandy,,Eau-de-vie (Pear),,,,,
Welcome Home,221,Highball (Standing Room),simple syrup ,,Syrup (Simple),,,3,,
Welcome Home,222,Highball (Standing Room),Malic Acid Solution ,,Acid (Malic),,,,,
Welcome Home,223,Highball (Standing Room),1 shiso leaf,,Leaf (Shiso),,,,,
Welcome Home,224,,,,,,,,,
Welcome Home,225,High Noon,cold seltzer,,Water (Sparkling),,,3,,
Welcome Home,226,High Noon,Great King St. Glasgow Blend scotch,,Whisky (Scotch) (Blended),,,3,,
Welcome Home,227,High Noon,Laird’s bonded apple brandy,,Brandy (Apple),,,3,,
Welcome Home,228,High Noon,fresh lemon juice,,Juice (Lemon),,,3,,
Welcome Home,229,High Noon,Amaro Nonino,,Amaro (Light) (Nonino),,,,,
Welcome Home,230,High Noon,Demerara Syrup ,,Syrup (Demerara),,,3,,
