Book,#,Name,Ingredient,Idx,Category,Type,Page,Stock,,
Smuggler's Cove,221,The Twenty Seventy Swizzle,Black Blended Overproof Rum,R6,Rum (black Blended Overproof),,116,3,,
Smuggler's Cove,222,The Twenty Seventy Swizzle,Herbstura,,Bitters (herbstura),,116,3,,
Smuggler's Cove,223,The Twenty Seventy Swizzle,Grated Nutmeg,,Spice (nutmeg),,116,3,,
Smuggler's Cove,224,,,,,,,,,
Smuggler's Cove,225,Shudders in a Whisper,Lime Juice,,Juice (lime),,118,3,,
Smuggler's Cove,226,Shudders in a Whisper,Passion Fruit Syrup,,Syrup (passion Fruit),,118,3,,
Smuggler's Cove,227,Shudders in a Whisper,Mathilde Poire Pear Liqueur,,Liqueur (pear),,118,,,
Smuggler's Cove,228,Shudders in a Whisper,Drambuie,,Liqueur (drambuie),,118,,,
Smuggler's Cove,229,Shudders in a Whisper,Seltzer,,Soda,,118,3,,
Smuggler's Cove,230,Shudders in a Whisper,Column Still Aged Rum,R4,Rum (column Still Aged),,118,3,,
Smuggler's Cove,231,Shudders in a Whisper,Peychaud's Bitters,,Bitters (creole),,118,,,
Smuggler's Cove,232,Shudders in a Whisper,Angostura Bitters,,Bitters (aromatic),,118,3,,
Smuggler's Cove,233,,,,,,,,,
Smuggler's Cove,234,Cuevas,Cinnamon Syrup,,Syrup (cinnamon),,118,3,,
Smuggler's Cove,235,Cuevas,Punt E Mes,,Vermouth (sweet),,118,3,,
Smuggler's Cove,236,Cuevas,Tawny Port,,Port (tawny),,118,,,
Smuggler's Cove,237,Cuevas,Blended Aged Rum,R3,Rum (blended Aged),,118,3,,
Smuggler's Cove,238,Cuevas,Bittermens 'elemakule Tiki Bitters,,Bitters (tiki),,118,,,
Smuggler's Cove,239,,,,,,,,,
Smuggler's Cove,240,Norwegian Paralysis,Orange Juice,,Juice (orange),,119,3,,
Smuggler's Cove,241,Norwegian Paralysis,Pineapple Juice,,Juice (pineapple),,119,3,,
Smuggler's Cove,242,Norwegian Paralysis,Lemon Juice,,Juice (lemon),,119,3,,
Smuggler's Cove,243,Norwegian Paralysis,Demerara Syrup,,Syrup (demerara),,119,3,,
Smuggler's Cove,244,Norwegian Paralysis,Orgeat,,Syrup (almond),,119,3,,
Smuggler's Cove,245,Norwegian Paralysis,Aquavit,,Aquavit,,119,,,
Smuggler's Cove,246,,,,,,,,,
Smuggler's Cove,247,Juan Ho Royale,Champagne or Sparkling Wine,,Wine (sparkling),,119,2,,
Smuggler's Cove,248,Juan Ho Royale,Lime Juice,,Juice (lime),,119,3,,
Smuggler's Cove,249,Juan Ho Royale,Orgeat,,Syrup (almond),,119,3,,
Smuggler's Cove,250,Juan Ho Royale,Blue Curacao,,Liqueur (orange Blue),,119,3,,
Smuggler's Cove,251,Juan Ho Royale,John D. Taylor's Velvet Falernum,,Liqueur (falernum),,119,3,,
Smuggler's Cove,252,Juan Ho Royale,Tequila Blanco,,Tequila (blanco),,119,3,,
Smuggler's Cove,253,,,,,,,,,
Smuggler's Cove,254,Chartreuse Swizzle,Pineapple Juice,,Juice (pineapple),,120,3,,
Smuggler's Cove,255,Chartreuse Swizzle,Lime Juice,,Juice (lime),,120,3,,
Smuggler's Cove,256,Chartreuse Swizzle,John D. Taylor's Velvet Falernum,,Liqueur (falernum),,120,3,,
Smuggler's Cove,257,Chartreuse Swizzle,Green Chartreuse,,Liqueur (chartreuse Green),,120,3,,
Smuggler's Cove,258,,,,,,,,,
Smuggler's Cove,259,Roselita,Seltzer,,Soda,,120,3,,
Smuggler's Cove,260,Roselita,Lime Juice,,Juice (lime),,120,3,,
Smuggler's Cove,261,Roselita,Orgeat,,Syrup (almond),,120,3,,
Smuggler's Cove,262,Roselita,Hibiscus Liqueur,,Liqueur (hibiscus),,120,,,
Smuggler's Cove,263,Roselita,Mathilde Poire Pear Liqueur,,Liqueur (pear),,120,,,
Smuggler's Cove,264,Roselita,Column Still Aged Rum,R4,Rum (column Still Aged),,120,3,,
Smuggler's Cove,265,Roselita,Peychaud's Bitters,,Bitters (creole),,120,,,
Smuggler's Cove,266,,,,,,,,,
Smuggler's Cove,267,Center of the Galaxy,Lime Juice,,Juice (lime),,121,3,,
Smuggler's Cove,268,Center of the Galaxy,Demerara Syrup,,Syrup (demerara),,121,3,,
